imdbID,tmdbID,Genre
tt8688634,535292,Drama
tt1437358,77495,Thriller
tt1437358,77495,Horror
tt0113967,39310,Crime
tt0113967,39310,Drama
tt0323807,38970,Drama
tt0323807,38970,Comedy
tt0323807,38970,Romance
tt0080764,67737,Horror
tt0073756,40810,Action
tt0073756,40810,Crime
tt0073756,40810,Thriller
tt4975280,426958,Thriller
tt0092796,16288,Horror
tt0092796,16288,Comedy
tt0023582,91181,Drama
tt0023582,91181,Mystery
tt0417189,2566,Drama
tt0091630,15762,Horror
tt0091630,15762,Comedy
tt0091630,15762,Science Fiction
tt0037449,28916,Drama
tt0037449,28916,War
tt0049405,27999,Drama
tt0049405,27999,Thriller
tt2017038,152747,Action
tt2017038,152747,Adventure
tt2017038,152747,Drama
tt4120176,374465,Drama
tt0038343,24111,Drama
tt0038343,24111,Thriller
tt0105378,19200,Thriller
tt0105378,19200,Comedy
tt12564514,727002,Drama
tt0072204,61296,Crime
tt0142239,44251,Animation
tt0142239,44251,Action
tt0142239,44251,Science Fiction
tt0100623,1560,Comedy
tt0100623,1560,Horror
tt0220016,17914,Comedy
tt1288376,44246,Drama
tt1288376,44246,Family
tt0844708,18405,Crime
tt0844708,18405,Thriller
tt0844708,18405,Horror
tt0844708,18405,Drama
tt0206117,72900,Comedy
tt0206117,72900,Family
tt0318025,80243,Comedy
tt0318025,80243,Drama
tt11456054,629017,Action
tt11456054,629017,Thriller
tt8649186,471707,Drama
tt0109855,33135,Drama
tt0109855,33135,Thriller
tt0109855,33135,Romance
tt0985058,36800,Animation
tt0985058,36800,Drama
tt0985058,36800,Science Fiction
tt0985058,36800,Thriller
tt0143348,41477,Action
tt0070116,78071,Thriller
tt0070116,78071,Fantasy
tt0070116,78071,Horror
tt3102208,317467,Comedy
tt0112740,8963,War
tt0112740,8963,Thriller
tt0112740,8963,Action
tt0112740,8963,Drama
tt0074400,48203,History
tt0169145,47144,Drama
tt1294226,35690,Drama
tt1294226,35690,Family
tt1294226,35690,Romance
tt1188992,29007,Comedy
tt1188992,29007,Drama
tt2667550,187962,War
tt2667550,187962,Drama
tt2667550,187962,History
tt0038238,44087,Drama
tt0038238,44087,War
tt0038238,44087,Romance
tt0096251,41428,Horror
tt0096251,41428,Science Fiction
tt0041994,104083,Drama
tt1531663,45658,Comedy
tt1531663,45658,Drama
tt1531663,45658,Romance
tt0055361,87977,Comedy
tt1315962,43619,Drama
tt1315962,43619,Romance
tt0343221,32990,Drama
tt0343221,32990,War
tt0124012,53186,Drama
tt0124012,53186,Horror
tt0124012,53186,Crime
tt0162710,1812,Comedy
tt0162710,1812,Romance
tt0081606,35125,Romance
tt0081606,35125,Drama
tt0081606,35125,Comedy
tt0119670,9821,Drama
tt0356150,9352,Comedy
tt0479651,17888,Action
tt0479651,17888,Adventure
tt0811066,20742,Action
tt0811066,20742,Crime
tt0811066,20742,Drama
tt0050095,38006,Adventure
tt0050095,38006,Horror
tt2113075,158908,Drama
tt7160176,437081,War
tt7160176,437081,Drama
tt7160176,437081,History
tt7160176,437081,Action
tt0107209,10434,Drama
tt0107209,10434,Fantasy
tt0107209,10434,Romance
tt5204020,406535,Drama
tt0101516,10337,Crime
tt0101516,10337,Drama
tt0101516,10337,Mystery
tt0094933,9748,Mystery
tt0094933,9748,Thriller
tt7941892,492999,Action
tt7941892,492999,Animation
tt7941892,492999,Drama
tt7941892,492999,Science Fiction
tt7941892,492999,Adventure
tt0061209,42728,Comedy
tt0061209,42728,Romance
tt2319580,209185,Comedy
tt1483753,58156,Drama
tt0499101,9999,Crime
tt0499101,9999,Drama
tt0050928,108564,History
tt0050928,108564,Drama
tt2409300,171846,Crime
tt2409300,171846,Thriller
tt2409300,171846,Action
tt2409300,171846,Drama
tt0059114,95838,Western
tt0059114,95838,Action
tt0059114,95838,Romance
tt0092637,17238,Drama
tt2980648,228194,Drama
tt0065916,46691,Drama
tt0065916,46691,Thriller
tt0065916,46691,Crime
tt0070641,68053,Drama
tt0070641,68053,Thriller
tt0280990,22156,Crime
tt0280990,22156,Action
tt0441774,1252,Drama
tt0441774,1252,Thriller
tt0441774,1252,Crime
tt0441774,1252,Romance
tt3335606,363126,Mystery
tt3335606,363126,Thriller
tt3335606,363126,Drama
tt3335606,363126,Horror
tt0086079,48769,Comedy
tt0086079,48769,War
tt0425601,9958,Comedy
tt0028773,27973,Crime
tt0028773,27973,Drama
tt10483386,608746,Action
tt10483386,608746,Drama
tt10483386,608746,Crime
tt0086320,13567,Horror
tt3416742,246741,Comedy
tt3416742,246741,Horror
tt0173024,73922,Drama
tt0173024,73922,Science Fiction
tt5275476,464287,Drama
tt5275476,464287,Comedy
tt8783532,587301,Drama
tt8783532,587301,Comedy
