imdbID,imdbDirectorID,DirectorName,tmdbDirectorID,Gender
tt0116313,nm0933505,Hugh Wilson,28904,2
tt0119217,nm0001814,Gus Van Sant,5216,2
tt0360323,nm0604263,Bobby Moresco,137064,2
tt0869994,nm0458251,Cédric Klapisch,17520,2
tt0076786,nm0000783,Dario Argento,4955,2
tt0097383,nm0146960,Liliana Cavani,67750,1
tt5592248,nm0001068,Sofia Coppola,1769,1
tt0387914,nm0001502,Luis Mandoki,46085,2
tt1725995,nm1802294,Banjong Pisanthanakun,81251,2
tt3303446,nm2032664,Kôbun Shizuno,237072,2
tt0242888,nm0420746,Guy Jenkin,122348,2
tt0046478,nm0003226,Kenji Mizoguchi,97202,2
tt0289944,nm0716347,Nicolas Winding Refn,21183,2
tt1837562,nm0418982,Julian Jarrold,29226,2
tt0077132,nm0651915,Nagisa Ôshima,46230,2
tt0067140,nm0001466,Sergio Leone,4385,2
tt0452623,nm0000255,Ben Affleck,880,2
tt0259974,nm0396074,Mamoru Hosoda,81718,2
tt4693612,nm1416796,Stéphane Robelin,933226,2
tt0459666,nm0396284,Hsiao-Hsien Hou,64992,2
tt0025748,nm0949597,Harold Young,103344,2
tt0046094,nm0695937,Otto Preminger,834,2
tt0043606,nm0598102,Mario Monicelli,32375,2
tt0043606,nm0826642,Steno,67924,2
tt0056552,nm0000339,Roger Corman,102429,2
tt0065761,nm0000783,Dario Argento,4955,2
tt0319237,nm0002194,Pupi Avati,72191,2
tt0093560,nm0215269,Fred Dekker,44056,2
tt8088944,nm2341549,Hong-seon Kim,1294527,2
tt1319718,nm0227625,Sheng Ding,110511,2
tt1911600,nm1319671,Gerardo Naranjo,238137,2
tt0079592,nm0163706,Bob Clark,12698,2
tt0430576,nm0170043,Isabel Coixet,90,1
tt0379217,nm0000464,Jim Jarmusch,4429,2
