tmdb_id,imdb_id,title,production_companies
6934,tt0419279,Yesterday,"HBO Films, Dv8, Exciting Films, Distant Horizon"
496527,tt7700730,October,"Kino Works, Rising Sun Films"
919,tt0275230,Blood: The Last Vampire,"Aniplex, Production I.G"
7985,tt0472160,Penelope,"Summit Entertainment, Tatira-Hiller Productions, Grosvenor Park Media, Type A Films"
302376,tt4076058,We Are Young. We Are Strong.,"UFA Cinema, UFA Fiction, ARTE, Cine Plus Filmproduktion, ZDF"
91913,tt1695831,Volcano,"Fine & Mellow Productions, Zik Zak Filmworks"
16353,tt0785035,Ong Bak 2,"Iyara Films, Sahamongkolfilm"
499468,tt7336446,Direniş Karatay,"Mars Dagitim, KTO Karatay Üniversitesi"
37351,tt0356922,The Mystery of the Yellow Room,"CinéCinéma, CNC, Canal+"
9972,tt0097770,Lock Up,"TriStar Pictures, Gordon Company, White Eagle, Carolco Pictures"
97038,tt0157154,The Rose Seller,Producciones Filmamento
5237,tt0104155,Dust Devil,"British Screen Productions, Channel Four Films, Palace Pictures, Shadow Theatre Films, Miramax"
483297,tt8191502,Microhabitat,"KwangHwaMoon Cinema, CGV Arthouse, MOTTO"
20200,tt0381442,Narco,"Les Productions du Trésor, StudioCanal, M6 Films, TF1 Films Production"
15712,tt1314280,Welcome,Nord-Ouest Films
56655,tt0408017,Everything About Mustafa,ANS Prodüksiyon
