imdbID,imdbDirectorID,DirectorName
tt0117008,nm0000362,Danny DeVito
tt0038268,nm0000041,Akira Kurosawa
tt0424434,nm1410815,Asghar Farhadi
tt0408777,nm0918326,Hans Weingartner
tt0905329,nm0806631,Yannis Smaragdis
tt1823125,nm0019341,Daniel Algrant
tt0197042,nm0441525,Dinos Katsouridis
tt7545566,nm1145920,Crystal Moselle
tt0021409,nm0163229,René Clair
tt0114916,nm0005390,Patricia Rozema
tt6514010,nm2418372,Nikhil Bhat
tt0326450,nm0495536,Nikolay Lebedev
tt10964468,nm7278299,Anu Menon
tt4048668,nm1887480,Aaron Nee
tt4048668,nm1519639,Adam Nee
tt3090670,nm0679662,Jennifer Phang
tt2584018,nm0184027,Peter Cousens
tt7377132,nm0557267,Olivier Masset-Depasse
tt2718440,nm1232843,Antoine Bardou-Jacquet
tt1280558,nm3109770,Neeraj Pandey
tt0054345,nm0703689,Richard Quine
tt1464580,nm0585344,Jim Mickle
tt10687070,nm5325427,Madonne Ashwin
tt2063781,nm1242054,James Ponsoldt
tt0085267,nm0001962,Lizzie Borden
tt0042898,nm0670874,Anthony Pelissier
tt0131207,nm0644494,Genrikh Oganisyan
tt8024712,nm3160391,Fajar Nugros
tt8024712,nm8662914,Bayu Skak
tt2392326,nm0585011,Roger Michell
tt0047136,nm0712947,Nicholas Ray
tt1179782,nm0438494,Rajat Kapoor
tt0043362,nm0002190,Anthony Asquith
tt1891974,nm0586281,Takashi Miike
tt4954660,nm2032664,Kôbun Shizuno
tt2472432,nm0775090,Dave Schram
tt0142234,nm0973920,Yoshihiro Ueda
tt0259534,nm0595917,Ram Mohan
tt0259534,nm0757223,Yûgô Sakô
tt0259534,nm0765886,Koichi Saski
tt3433632,nm1595335,Frédéric Tellier
tt5073642,nm0822582,Richard Stanley
tt0060438,nm0504513,Richard Lester
tt0068638,nm0001603,Sam Peckinpah
tt0050112,nm0718467,Allen Reisner
tt4080728,nm0391502,Hannes Holm
tt0419749,nm0001486,Sidney Lumet
tt0269329,nm0002218,Claude Miller
tt6445414,nm0467219,Lukasz Kosmicki
tt4686844,nm0406334,Armando Iannucci
tt8362736,nm2819449,Claire Oakley
tt0073915,nm0783733,Ousmane Sembene
tt8722346,nm2027419,Melina Matsoukas
tt0083611,nm0841456,Bob Swaim
tt0164711,nm0421716,Tomas Villum Jensen
tt1629715,nm1201747,Ashim Ahluwalia
tt4714782,nm0000801,Olivier Assayas
tt1261393,nm2434397,Roberto Girault
tt0025586,nm0188669,John Cromwell
tt1691323,nm0718125,Athina Rachel Tsangari
tt3508840,nm0396284,Hsiao-Hsien Hou
tt0253616,nm0862605,Kartal Tibet
tt0342636,nm0019247,Tomas Alfredson
tt1186366,nm0049326,Aleksey Balabanov
tt4225622,nm0629334,McG
tt0102816,nm0477102,Stanley Kwan
tt2331047,nm0657372,Mark Palansky
tt0089927,nm0000230,Sylvester Stallone
tt0064793,nm0000005,Ingmar Bergman
tt1542482,nm0453707,Tae-yong Kim
tt0267548,nm0223522,David Dhawan
tt0114429,nm0579828,Vladimir Menshov
tt0851532,nm0155280,Kaige Chen
tt0119715,nm0893659,Gore Verbinski
tt0314620,nm0429535,Steven de Jong
tt0314620,nm0929621,Marc Willard
tt3316384,nm2965829,Niki Iliev
tt4354740,nm1319220,Fuwad Khan
tt0435625,nm0551076,Neil Marshall
tt5918028,nm1226290,Sung-su Kim
tt0420238,nm0271402,Sam Fell
tt0420238,nm0828207,Robert Stevenhagen
tt0425985,nm0197246,Sijie Dai
tt0204946,nm0715636,Peyton Reed
tt0069492,nm0906667,Andrzej Wajda
tt1997291,nm1802263,Hamid Nematollah
tt8130968,nm1223910,Sujoy Ghosh
